responseid	interview_start	interview_end	In your current role do you carry out primary research?	published_yesNPG	published_yesnonNPG	published_no	published_nosay	familiar_reproducibility	crisis_yesMedia	crisis_yesJournals	crisis_yesConferences	ciris_yesColleagues	crisis_yesElsewhere	crisis_no	significance_crisis	flagged	proportion_reproducible	field_reproducibility	try_failOwn	try_failElse	published_successElse	published_failElse	nopublish_success	noprublish_fail	job	field	improve_funding_to_reproduce	improve_funding_for_practices	improve_teaching	improve_mentoring	improve_stats	improve_experimantal_design	improve_validationa_outside_lab	improve_journal	improve_mentoring	improve_time_check	"""I think that the failure to reproduce scientific studies is a major problem in my field"""	"""I think that the failure to reproduce scientific studies is a major problem for all fields"""	Think about reproducibility of your research	Speak to you colleagues about reproducibility	Question the reproducibility of other scientists' work	Have you encountered efforts or directives from funding agencies designed to improve reproducibility of the work you do?	Have you encountered efforts from journal publishers designed to enhance or ensure the reproducibility of your work (e.g. using checklists to ensure standards for describing research methods)?	How many members are in your lab?	What is your age?
2482	10/10/2015	10/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	Too much	90%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	Post-doctoral Fellow	Biology	Very likely	Very likely	Likely	Very likely	Very likely	Likely	Likely	Not very likely	Likely	Very likely	Disagree	Neither agree nor disagree	Daily	Weekly	Monthly	Yes	No	6-10 members	35 - 44
2546	10/10/2015	10/10/2015	Yes	1	0	0	0	Very familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Biology	Very likely	Very likely	Not very likely	Likely	Likely	Not very likely	Not very likely	I don't know	Likely	Likely	Strongly agree	Strongly agree	Quarterly	Monthly	Monthly	No	Yes	6-10 members	25 - 34
2550	10/10/2015	10/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	Not enough	80%	I am unsure	Yes	Yes	Yes	Yes	I can't remember	No	Professor	Chemistry	Very likely	Very likely	Very likely	Very likely	Likely	Likely	I don't know	Likely	Very likely	Likely	Disagree	Disagree	Monthly	Never	Never	No	Yes	1-5 members	45 - 54
2551	10/10/2015	10/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	50%	I am unsure	No	Yes	No	No	No	No	PhD Student	Materials Science	I don't know	Likely	Very likely	Likely	Very likely	Very likely	Likely	I don't know	Likely	Likely	Strongly agree	Strongly agree	Quarterly	Quarterly	Monthly	No	Not applicable	11-25 members	25 - 34
2553	10/10/2015	10/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	I am unsure	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Very likely	Very likely	Likely	Likely	Very likely	Not very likely	Very likely	Very likely	Likely	Likely	Agree	Agree	Daily	Weekly	Monthly	No	No	1-5 members	35 - 44
2558	10/10/2015	10/10/2015	Yes	1	1	0	0	Very familiar	1	1	1	1	1	0	I don't know	I am unsure	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	Yes	Principal Investigator	Other	Not very likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Not very likely	Likely	Likely	Neither agree nor disagree	Agree	Monthly	Monthly	Monthly	No	Yes	6-10 members	35 - 44
2564	10/10/2015	10/10/2015	Yes	0	1	0	0	Very familiar	1	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	90%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	PhD Student	Physics	Likely	Not very likely	Very likely	Very likely	Very likely	Likely	Likely	Very likely	Likely	Not very likely	Strongly disagree	Neither agree nor disagree	Weekly	Quarterly	Weekly	No	No	1-5 members	25 - 34
2568	10/10/2015	10/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...about the same as for other scientific fields on average"""	I can't remember	Yes	No	No	No	No	Senior Scientist	Biology	Likely	Likely	Not very likely	Not very likely	Likely	Not very likely	Likely	Likely	Not very likely	Not very likely	Agree	Neither agree nor disagree	Monthly	Monthly	Weekly	Not applicable	Not applicable	1-5 members	45 - 54
2573	10/10/2015	10/10/2015	Yes	1	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	No	Yes	Yes	No	No	Yes	Principal Investigator	Biology	Very likely	Very likely	Likely	Likely	Not very likely	Likely	Very likely	Not very likely	Not very likely	Likely	Strongly agree	Strongly agree	Weekly	Weekly	Daily	No	Yes	26-50 members	25 - 34
2580	10/10/2015	10/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	I am unsure	40%	I am unsure	Yes	Yes	Yes	Yes	I can't remember	I can't remember	PhD Student	Other	I don't know	Likely	Very likely	Very likely	Likely	Very likely	Not very likely	Likely	Not at all likely	Very likely	Neither agree nor disagree	Strongly agree	Weekly	Weekly	Monthly	Not applicable	Not applicable	6-10 members	25 - 34
2602	10/10/2015	10/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Other	Very likely	I don't know	Likely	Very likely	Very likely	Likely	Not very likely	Not very likely	Likely	Likely	Disagree	Agree	Never	Quarterly	Weekly	Not applicable	No	11-25 members	25 - 34
2608	10/10/2015	10/10/2015	Yes	0	0	1	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology	Very likely	Very likely	Likely	Likely	Not very likely	Likely	Likely	Likely	Likely	Likely	Neither agree nor disagree	Agree	Quarterly	Quarterly	Monthly	Yes	Not applicable	6-10 members	25 - 34
2609	10/10/2015	10/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	60%	I am unsure	Yes	Yes	No	No	No	No	PhD Student	Other	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Likely	Very likely	Agree	Agree	Monthly	Monthly	Monthly	Not applicable	Yes	6-10 members	25 - 34
2611	10/10/2015	10/10/2015	Yes	0	0	1	0	Not very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Too much	60%	I am unsure	Yes	I can't remember	No	No	No	No	Technician/Research Assistant	Biology	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Agree	Disagree	Monthly	Weekly	Quarterly	Yes	Yes	6-10 members	35 - 44
2613	10/10/2015	10/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology	Likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Not at all likely	Not very likely	Not at all likely	Neither agree nor disagree	Neither agree nor disagree	Weekly	Monthly	Monthly	Not applicable	Yes	6-10 members	25 - 34
2615	10/10/2015	10/10/2015	Yes	0	0	1	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	PhD Student	Other	Very likely	Likely	Very likely	Very likely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Neither agree nor disagree	Agree	Monthly	Quarterly	Monthly	No	No	None	25 - 34
2620	10/10/2015	10/10/2015	Yes	1	0	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Biology	Likely	Very likely	Likely	Very likely	Very likely	Likely	Not very likely	Likely	Very likely	Likely	Agree	Agree	Weekly	Monthly	Daily	No	No	26-50 members	35 - 44
2621	10/10/2015	10/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	0	1	0	There is a significant crisis of reproducibility	Too much	30%	I am unsure	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Likely	Not very likely	Not at all likely	Not very likely	Very likely	Very likely	Likely	Not at all likely	Not at all likely	Not very likely	Agree	Agree	Monthly	Monthly	Weekly	Not applicable	No	6-10 members	45 - 54
2622	10/10/2015	10/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Likely	Likely	Not very likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Likely	Agree	Agree	Daily	Daily	Daily	No	Yes	1-5 members	25 - 34
2625	10/10/2015	10/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Likely	Likely	Not very likely	Likely	Likely	Likely	Very likely	Very likely	Likely	Likely	Strongly agree	Neither agree nor disagree	Weekly	Monthly	Monthly	No	No	11-25 members	25 - 34
2638	10/10/2015	10/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	Post-doctoral Fellow	Chemistry	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Agree	Strongly agree	Daily	Daily	Daily	No	Yes	11-25 members	25 - 34
2645	10/10/2015	10/10/2015	Yes	1	0	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	I am unsure	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Physics	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Not very likely	Not very likely	Agree	Agree	Daily	Monthly	Weekly	No	No	11-25 members	25 - 34
2661	10/10/2015	10/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Materials Science	Very likely	Likely	Not very likely	Likely	Likely	Not very likely	Very likely	Not very likely	Very likely	Likely	Agree	Strongly agree	Weekly	Monthly	Weekly	No	No	6-10 members	25 - 34
2667	10/10/2015	10/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Professor	Chemistry	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Strongly agree	Strongly agree	Daily	Monthly	Monthly	No	No	6-10 members	45 - 54
2669	10/10/2015	10/10/2015	Yes	1	0	0	0	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...about the same as for other scientific fields on average"""	No	No	Yes	No	No	No	Post-doctoral Fellow	Biology	Likely	Likely	Not at all likely	Not very likely	Likely	Likely	Not at all likely	Likely	Not very likely	Likely	Agree	Agree	Daily	Weekly	Weekly	Yes	No	6-10 members	25 - 34
2670	10/10/2015	10/10/2015	Yes	0	1	0	0	Very familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	Too much	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Staff Scientist	Chemistry	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Not very likely	Not at all likely	Likely	Likely	Neither agree nor disagree	Neither agree nor disagree	Monthly	Monthly	Monthly	No	Yes	1-5 members	35 - 44
2672	10/10/2015	10/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	0	0	1	I don't know	I am unsure	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	PhD Student	Chemistry	Very likely	Very likely	Very likely	Very likely	Very likely	Not very likely	Very likely	Likely	Very likely	Likely	Strongly agree	Strongly agree	Daily	Quarterly	Never	No	No	1-5 members	25 - 34
2682	10/10/2015	10/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	0	0	0	There is a significant crisis of reproducibility	I am unsure	70%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	Yes	I can't remember	PhD Student	Chemistry	Very likely	Not very likely	Likely	Likely	Very likely	Very likely	Likely	Not very likely	Not very likely	Not very likely	Neither agree nor disagree	Agree	Monthly	Quarterly	Monthly	No	No	6-10 members	25 - 34
2689	10/10/2015	10/10/2015	Yes	0	1	0	0	Very familiar	1	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	Yes	No	No	PhD Student	Medicine	Very likely	Very likely	Likely	Likely	Very likely	Very likely	Not very likely	Not very likely	Likely	Likely	Disagree	Disagree	Quarterly	Quarterly	Monthly	No	Yes	1-5 members	25 - 34
2696	10/10/2015	10/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Associate professor/Lecturer	Other	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Very likely	Very likely	Agree	Agree	Quarterly	Monthly	Monthly	No	No	26-50 members	45 - 54
2697	10/10/2015	10/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	0	0	0	There is a slight crisis of reproducibility	Too much	80%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	Yes	Yes	Professor	Chemistry	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Likely	Likely	Disagree	Disagree	Quarterly	Quarterly	Quarterly	No	No	1-5 members	65 or over
2703	10/10/2015	10/10/2015	Yes	0	0	1	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	Not enough	80%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Student	Biology	Very likely	Very likely	Likely	Not very likely	Likely	Likely	Very likely	Very likely	Likely	Not at all likely	Neither agree nor disagree	Agree	Weekly	Monthly	Monthly	No	No	6-10 members	18 - 24
2711	11/10/2015	11/10/2015	Yes	0	0	1	0	Fairly familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	PhD Student	Other	Not at all likely	Likely	Very likely	Likely	Likely	Likely	Not very likely	I don't know	I don't know	I don't know	Agree	Neither agree nor disagree	Weekly	Monthly	Weekly	Not applicable	Not applicable	1-5 members	45 - 54
2713	11/10/2015	11/10/2015	Yes	0	1	0	0	Somewhat familiar	0	1	0	0	0	0	I don't know	I am unsure	90%	I am unsure	No	Yes	Yes	No	No	No	Post-doctoral Fellow	Biology	Not very likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Strongly disagree	Strongly disagree	Monthly	Weekly	Quarterly	No	Yes	6-10 members	25 - 34
2733	11/10/2015	11/10/2015	Yes	0	1	0	0	Not very familiar	0	0	0	0	0	1	There is a slight crisis of reproducibility	Not enough	70%	I am unsure	Yes	Yes	No	No	No	No	PhD Student	Engineering	Not at all likely	Not at all likely	Not very likely	Very likely	Very likely	Very likely	Not very likely	Not very likely	Likely	Very likely	Disagree	Disagree	Daily	Weekly	Never	No	No	6-10 members	18 - 24
2735	11/10/2015	11/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Engineering	Very likely	Very likely	Not very likely	Likely	Likely	Very likely	Very likely	Not very likely	Not very likely	Not very likely	Strongly agree	Strongly agree	Daily	Daily	Weekly	No	Yes	11-25 members	25 - 34
2739	11/10/2015	11/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	PhD Student	Biology	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Neither agree nor disagree	Agree	Daily	Never	Never	No	No	11-25 members	25 - 34
2740	11/10/2015	11/10/2015	Yes	0	1	0	0	Somewhat familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	Yes	Yes	Yes	PhD Student	Chemistry	Likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely	Likely	Agree	Agree	Daily	Weekly	Weekly	Yes	Yes	26-50 members	25 - 34
2753	11/10/2015	11/10/2015	Yes	0	0	1	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	Yes	No	Student	Biology	Very likely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Likely	I don't know	Strongly agree	Agree	Weekly	Weekly	Quarterly	Yes	Yes	6-10 members	18 - 24
2763	11/10/2015	11/10/2015	Yes	1	0	0	0	Very familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...better than for other scientific fields on average."""	Yes	I can't remember	Yes	No	No	No	PhD Student	Biology	Very likely	Very likely	Likely	Likely	Likely	Likely	Very likely	Not very likely	Not very likely	Likely	Neither agree nor disagree	Strongly agree	Daily	Daily	Monthly	No	No	11-25 members	25 - 34
2764	11/10/2015	11/10/2015	Yes	0	0	1	0	Somewhat familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Too much	40%	"...better than for other scientific fields on average."""	Yes	No	Yes	Yes	Yes	Yes	Technician/Research Assistant	Biology	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Agree	Agree	Monthly	Weekly	Quarterly	No	No	1-5 members	25 - 34
2772	11/10/2015	11/10/2015	Yes	0	1	0	0	Very familiar	0	0	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...worse than for other scientific fields on average."""	No	Yes	Yes	No	Yes	No	Medical Professional/Doctor	Medicine	Likely	Likely	Likely	Not very likely	Likely	Not very likely	Likely	Likely	Not very likely	Likely	Neither agree nor disagree	Neither agree nor disagree	Daily	Weekly	Daily	Yes	Yes	1-5 members	25 - 34
2773	11/10/2015	11/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	I don't know	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Biology	Very likely	Very likely	Likely	Very likely	Very likely	Very likely	Likely	I don't know	Very likely	Likely	Agree	Agree	Weekly	Monthly	Monthly	No	No	6-10 members	25 - 34
2774	11/10/2015	11/10/2015	Yes	0	0	1	0	Not very familiar	0	0	0	0	0	1	There is a slight crisis of reproducibility	Not enough	10%	I am unsure	No	No	No	No	No	No	Student	Biology	Very likely	Likely	Not very likely	Likely	Very likely	Very likely	Likely	Likely	Not very likely	Likely	Agree	Agree	Daily	Quarterly	Quarterly	Not applicable	Not applicable	None	18 - 24
2779	11/10/2015	11/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	10%	"...worse than for other scientific fields on average."""	I can't remember	Yes	No	No	No	No	Senior Scientist	Physics	Very likely	Very likely	Likely	Likely	Likely	I don't know	Likely	Very likely	Likely	Likely	Agree	Neither agree nor disagree	Weekly	Weekly	Weekly	No	Yes	1-5 members	45 - 54
2788	11/10/2015	11/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	70%	I am unsure	I can't remember	Yes	No	No	No	No	PhD Student	Biology	Not very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Neither agree nor disagree	Agree	Daily	Monthly	Monthly	Not applicable	Yes	6-10 members	25 - 34
2796	11/10/2015	11/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	No	No	PhD Student	Materials Science	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Agree	Agree	Weekly	Quarterly	Daily	Yes	Yes	1-5 members	25 - 34
2802	11/10/2015	11/10/2015	Yes	1	0	0	0	Fairly familiar	1	1	1	0	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Post-doctoral Fellow	Materials Science	Likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Likely	Likely	Likely	Agree	Agree	Daily	Weekly	Weekly	Not applicable	Yes	26-50 members	25 - 34
2807	11/10/2015	11/10/2015	Yes	0	1	0	0	Very familiar	0	0	1	0	0	0	I don't know	I am unsure	40%	I am unsure	No	No	No	No	No	No	PhD Student	Biology	Likely	Likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely	Very likely	Disagree	Neither agree nor disagree	Daily	Daily	Daily	Yes	Yes	6-10 members	25 - 34
2818	11/10/2015	11/10/2015	Yes	0	0	1	0	Fairly familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	10%	I am unsure	Yes	Yes	No	No	Yes	Yes	Research Scientist	Other	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Strongly agree	Neither agree nor disagree	Daily	Daily	Weekly	No	Yes	6-10 members	25 - 34
2822	11/10/2015	11/10/2015	Yes	1	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	I can't remember	Yes	I can't remember	Yes	Post-doctoral Fellow	Biology	Not very likely	Likely	Very likely	Very likely	Likely	Very likely	Not very likely	Likely	Likely	Likely	Strongly agree	Strongly agree	Monthly	Monthly	Monthly	No	Yes	6-10 members	25 - 34
2826	11/10/2015	11/10/2015	Yes	0	1	0	0	Fairly familiar	1	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...worse than for other scientific fields on average."""	I can't remember	Yes	I can't remember	I can't remember	I can't remember	I can't remember	Post-doctoral Fellow	Biology	Not very likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Not very likely	Likely	Likely	Agree	Agree	Weekly	Monthly	Weekly	Yes	Yes	1-5 members	25 - 34
2830	11/10/2015	11/10/2015	Yes	0	1	0	0	Very familiar	0	0	1	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	PhD Student	Other	Very likely	Very likely	Very likely	Likely	Very likely	Very likely	Likely	Not very likely	I don't know	Not very likely	Agree	Strongly agree	Weekly	Monthly	Weekly	No	No	11-25 members	25 - 34
2836	11/10/2015	11/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	20%	"...worse than for other scientific fields on average."""	I can't remember	Yes	No	No	No	No	Post-doctoral Fellow	Other	Likely	Likely	Not at all likely	Not very likely	Not very likely	Likely	Not very likely	Likely	Likely	Likely	Agree	Strongly agree	Monthly	Monthly	Weekly	Yes	Yes	1-5 members	25 - 34
2839	11/10/2015	11/10/2015	Yes	1	0	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	No	No	No	No	Yes	No	Consultant/Fellow/Attending Physician	Medicine	Likely	Likely	Very likely	Likely	Likely	Very likely	Likely	Very likely	Very likely	Likely	Disagree	Agree	Daily	Monthly	Weekly	No	No	1-5 members	25 - 34
2846	11/10/2015	11/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Post-doctoral Fellow	Materials Science	Likely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely	Agree	Agree	Monthly	Quarterly	Monthly	Yes	No	11-25 members	35 - 44
2852	11/10/2015	11/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	I am unsure	Yes	Yes	Yes	No	No	No	Post-doctoral Fellow	Biology	Likely	Very likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Likely	Likely	Agree	Agree	Weekly	Weekly	Weekly	Not applicable	Yes	6-10 members	35 - 44
2853	11/10/2015	11/10/2015	Yes	1	0	0	0	Fairly familiar	1	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	Yes	Yes	Resident/Registrar	Medicine	Very likely	Not very likely	Likely	Likely	Very likely	Likely	Very likely	Very likely	Likely	Not very likely	Agree	Strongly agree	Weekly	Monthly	Monthly	No	No	11-25 members	25 - 34
2854	11/10/2015	11/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	I am unsure	60%	"...worse than for other scientific fields on average."""	No	No	Yes	No	No	No	Post-doctoral Fellow	Medicine	Likely	Likely	Not very likely	Likely	Likely	Likely	Likely	Not very likely	Likely	Not very likely	Agree	Neither agree nor disagree	Daily	Quarterly	Monthly	No	No	6-10 members	25 - 34
2862	11/10/2015	11/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Too much	30%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	Yes	Yes	Professor	Chemistry	Likely	Very likely	Not very likely	Not very likely	Not very likely	Not very likely	Not very likely	Likely	Not very likely	Likely	Agree	Agree	Weekly	Monthly	Monthly	No	No	1-5 members	65 or over
2881	11/10/2015	11/10/2015	Yes	0	0	0	1	Very familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	Not enough	80%	"...better than for other scientific fields on average."""	Yes	No	No	No	No	No	Post-doctoral Fellow	Biology	Very likely	Likely	Likely	Likely	Not very likely	Very likely	Likely	Not very likely	Not very likely	Likely	Agree	Agree	Monthly	Never	Never	Not applicable	Not applicable	6-10 members	35 - 44
2890	11/10/2015	11/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	0	0	1	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	Yes	Yes	I can't remember	Associate professor/Lecturer	Medicine	Likely	Likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely	Likely	Strongly agree	Strongly agree	Quarterly	Quarterly	Quarterly	Not applicable	No	6-10 members	35 - 44
2894	11/10/2015	11/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	0	0	1	I don't know	I am unsure	50%	"...about the same as for other scientific fields on average"""	No	No	Yes	Yes	I can't remember	I can't remember	Medical Professional/Doctor	Medicine	Likely	Likely	Likely	Likely	Very likely	Likely	Not very likely	Likely	Likely	Likely	Agree	Agree	Quarterly	Quarterly	Quarterly	No	Yes	1-5 members	25 - 34
2896	11/10/2015	11/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	PhD Student	Earth and Environmental Science	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Strongly agree	Strongly agree	Weekly	Weekly	Weekly	No	No	1-5 members	25 - 34
